publication_external_id,publication_title,url
m7GVzxm05ZEj,RAG Assistant App,https://github.com/kuxall/agentic-ai
EIBBy4jo6Kk1,A Wikipedia-based RAG System with Fact Verification and Conversation Management,https://github.com/daishir0/rag-document-assistant/
RlZIfkqK8e4u,RAG Assistant for Custom Knowledge Base,https://github.com/AmmarAhmedl200961/simple-rag
4fBZ6PYkO2mZ,"Heritage - an AI query system for The Nigerian Peoples, their Pre-historic Arts, & Cultures.",https://github.com/Blaqadonis/heritageai
fEZHv6d4lqmx,RT-RAG Assistant: A Modular Retrieval-Augmented Generation Framework for Document Querying,https://github.com/JbellMD/RT-RAG
KwKSDEOcAXrX,RAG (Retrieval Augmented Generation) Chatbot,https://github.com/MANU-de/RAG-CHATBOT
8T4zjTgKfHzm,AI-Powered Assistant for Exploring Financial Consumer Complaints,https://github.com/Fatimat01/consumer-complaint-chatbot
f7jkvoxhGkWT,KnowBot: An Interactive RAG Chatbot for Academic Document Exploration,https://github.com/stephanie0324/KnowBot
kRxLwW6vxsDn,"RAG Assistant using FAISS, Langchain and Gradio",https://github.com/Say2hub/RAG-Assistant/blob/main/main.py
YPaSuFfjSL2v,SustainaRAG: A Retrieval-Augmented Assistant for CSR & ESG Strategy Design,https://github.com/kostas696/sustainarag
7nDcd8TkL4bj,RAG System for Abortion Awareness Education,https://github.com/ezedinff/AAIDC/tree/main/project-1
tFWaqm3NnqpZ,Q&A Chatbot for Historical Documents using RAG and Google Gemini,https://github.com/phanminhtai23/VietnamWarQA-RAG
PMe6opu9HA3u,Interview Status Chatbot: A RAG-Powered HR Assistant for Job Application Tracking,https://github.com/abdullah-k18/interview-status-chatbot
ywfeDHNiFx7n,Chatbot for Efficient Banking Customer Experience,https://github.com/Addisu-Taye/bank-customer-service-chatbot.git
HWb7EKooLzJS,OptiBotSync – Ideal for productivity or multi-tool integration,
ICfIfIRJ7hYj,Gemini RAG Assistant: Intelligent Document Q&A System,https://github.com/KesavGopan10/Module-1-Project
sgi0REs2wi2J,Ready Tensor RAG Assistant,https://github.com/SGFIRE/ready-tensor-certification
l31Tqp5nU423,AsktheScholar - Multimodal RAG to Chat with Research Papers,https://github.com/aminajavaid30/ask_the_scholar
oARTT6bvyALY,Ragssistant - A RAG assistant for you,https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant
DUiPV8B0Swzl,Ragssistant: RAG-Powered-AI-Assistant,https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant
BpryDLtWHWkx,RAG based Chatbot Specializing in U.S. History,https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/2-0-flash
wpI38s0JViqj,"RAG Chat Assistant, using QWEN Chat local model via LangChain",https://github.com/AndreyGermanov/langchain_qwen_chat_cli
LstceSnb3IDH,Research Assistant,https://github.com/daniau23/research_assistant
