publication_external_id,publication_title,project,rag_score,rag_total,rag_percentage,general_score,general_total,general_percentage,combined_percentage,merge2
00LAGp5OuigT,RAG-powered-assistant,https://github.com/AishwaryaChandel27/RAG-powered-assistant,9,16,0.5625,23,31,0.7419,1.3044,both
1EyrHhLul5KU,Local-RAG: A Question-Answering Assistant with Ollama and LangChain,https://github.com/gourishankar27/local_RAG_agent_system,14,16,0.875,27,31,0.871,1.746,both
1YrOrfkDQ3bN,BUILDING A RAG SYSTEM WITH OPEN-SOURCE,https://github.com/AhmadTigress/Rag_System,11,16,0.6875,20,31,0.6452,1.3327,both
1tzOpsOtVNkC,E-commerce FAQ Assistant using RAG,https://github.com/swathiradhakrishnan06/Ecommerce-Q-A-Assistant-using-RAG,10,16,0.625,14,31,0.4516,1.0766,both
3ckLnaDhLwiY,Ready Tensor Publication Explorer: A RAG-based research assistant,https://github.com/Abeer2107/Ready-Tensor-Publication-Explorer,13,16,0.8125,10,31,0.3226,1.1351,both
4fBZ6PYkO2mZ,"Heritage - an AI query system for The Nigerian Peoples, their Pre-historic Arts, & Cultures.",https://github.com/Blaqadonis/heritageai,12,16,0.75,26,31,0.8387,1.5887,both
4fiaz4cCKoI0,AAIDC RAG,https://github.com/simsimi2143/Rag-nvidia-nim,10,16,0.625,15,31,0.4839,1.1089,both
4hY5oGBmvCz6,Psych RAG,https://github.com/This-is-just-a-test-ben/rag_psych_helper,4,16,0.25,3,31,0.0968,0.3468,both
4wqYEiwbmMF9,A RAG system for smart educational assessment from student course materials,https://github.com/Tolulopeelijah/studybuddy-rag,14,16,0.875,12,31,0.3871,1.2621,both
52Zo0G7WuWGZ,AAIDC2025- Project 1- RAG AI Assistant ,,1,16,0.0625,-8,31,-0.2581,-0.1956,both
52lhbZXXHk9f,Local RAG Assistant for Ready Tensor Publications,https://github.com/hakangulcu/ready-tensor-rag-assistant,8,16,0.5,19,31,0.6129,1.1129,both
555qYxNAI5Lv,RAG-based agent API,https://github.com/molero3111/rag-assistant-api,5,16,0.3125,6,31,0.1935,0.506,both
7nDcd8TkL4bj,RAG System for Abortion Awareness Education,https://github.com/ezedinff/AAIDC,11,16,0.6875,14,31,0.4516,1.1391,both
8T4zjTgKfHzm,AI-Powered Assistant for Exploring Financial Consumer Complaints,https://github.com/Fatimat01/consumer-complaint-chatbot,11,16,0.6875,23,31,0.7419,1.4294,both
8t2SMEsGZctP,RAG Assistant - AAIDC,https://github.com/kartavya4874/RAG-Assistant---AAIDC,15,16,0.9375,20,31,0.6452,1.5827,both
90Gdnmy5EuOR,RAG-Based Financial Research Assistant,https://github.com/sahil095/RAG-based-financial-research-assistant,10,16,0.625,11,31,0.3548,0.9798,both
967PpYl1ONyD,Traffic Rules Assistant,https://github.com/madhans476/traffic_rules_assistant/,13,16,0.8125,17,31,0.5484,1.3609,both
9VFqBbmNw65U,RAG Assistant for IGBO Cultural Information and Proverbs,https://github.com/Dprof-in-tech/igbo_culture_RAG.py,12,16,0.75,22,31,0.7097,1.4597,both
A4c7i0iQhjCl,Agent 47: Precise recent data retrieval,https://github.com/polymathLTE/agentic-ai,12,16,0.75,17,31,0.5484,1.2984,both
ANhHUbARKoZL,AskTheDocs: a Local‑First RAG Chatbot for Technical Documentation,https://github.com/rishi255/askthedocs,12,16,0.75,28,31,0.9032,1.6532,both
